ID,資產編號,價格,類型,部門,負責人,購買日期,狀態,更新日期,創建日期
405,M-001,601,滑鼠(M),資訊部(IT),,2018/09/22,未使用,2018/11/04,2018/09/19
406,P-001,400,變壓器(P),人資部(HR),卡拉(110),2018/09/22,使用中,2018/11/09,2018/09/19
407,M-002,600,滑鼠(M),資訊部(IT),貝蒂(209),2018/09/21,使用中,2018/11/09,2018/09/19
408,A-001,666,延長線(A),資訊部(IT),艾達(201),2018/09/20,使用中,2018/11/09,2018/09/19
409,PC-001,999,電腦(PC),資訊部(IT),可妮莉雅(216),2018/09/13,使用中,2018/11/09,2018/09/19
410,P-002,100,變壓器(P),公關部(PR),阿爾娃(401),2018/09/20,使用中,2018/11/09,2018/09/19
411,A-002,600,延長線(A),研發部(RD),安妮(304),2018/09/11,使用中,2018/11/09,2018/09/19
412,P-003,400,變壓器(P),人資部(HR),,,使用中,2018/11/09,2018/09/19
413,A-003,400,延長線(A),資訊部(IT),,,使用中,2018/11/09,2018/09/19
414,PC-002,400,電腦(PC),公關部(PR),,,使用中,2018/11/09,2018/09/19
415,A-004,400,延長線(A),人資部(HR),愛爾柏塔(101),,使用中,2018/11/04,2018/09/19
416,P-004,400,變壓器(P),客服部(CS),,,使用中,2018/11/09,2018/09/19
417,M-003,400,滑鼠(M),人資部(HR),,,使用中,2018/11/09,2018/09/19
418,A-005,400,延長線(A),公關部(PR),,,使用中,2018/11/09,2018/09/19
419,P-005,400,變壓器(P),研發部(RD),,,使用中,2018/11/09,2018/09/19
420,P-006,400,變壓器(P),研發部(RD),,,使用中,2018/11/09,2018/09/19
421,A-006,400,延長線(A),資訊部(IT),,,使用中,2018/11/09,2018/09/19
422,P-007,400,變壓器(P),客服部(CS),,,使用中,2018/11/09,2018/09/19
423,P-008,400,變壓器(P),客服部(CS),,,使用中,2018/11/09,2018/09/19
424,A-007,400,延長線(A),公關部(PR),,,使用中,2018/11/09,2018/09/19
425,A-008,400,延長線(A),研發部(RD),,,使用中,2018/11/09,2018/09/19
426,PC-003,400,電腦(PC),公關部(PR),,,使用中,2018/11/09,2018/09/19
427,P-009,400,變壓器(P),資訊部(IT),,,使用中,2018/11/09,2018/09/19
428,PC-004,400,電腦(PC),資訊部(IT),,,使用中,2018/11/09,2018/09/19
429,P-010,400,變壓器(P),公關部(PR),,,使用中,2018/11/09,2018/09/19
430,A-009,400,延長線(A),資訊部(IT),,,使用中,2018/11/09,2018/09/19
431,P-011,400,變壓器(P),人資部(HR),,,使用中,2018/11/09,2018/09/19
432,A-010,400,延長線(A),研發部(RD),,,使用中,2018/11/09,2018/09/19
433,P-012,400,變壓器(P),人資部(HR),,,使用中,2018/11/09,2018/09/19
434,PC-005,400,電腦(PC),研發部(RD),,,使用中,2018/11/09,2018/09/19
435,P-013,400,變壓器(P),人資部(HR),,,使用中,2018/11/09,2018/09/19
436,A-011,400,延長線(A),資訊部(IT),,,使用中,2018/11/09,2018/09/19
437,P-014,400,變壓器(P),公關部(PR),,,使用中,2018/11/09,2018/09/19
438,A-012,400,延長線(A),運營部(OM),,,使用中,2018/11/09,2018/09/19
439,P-015,400,變壓器(P),運營部(OM),,,使用中,2018/11/09,2018/09/19
440,A-013,400,延長線(A),研發部(RD),,,使用中,2018/11/09,2018/09/19
441,A-014,400,延長線(A),公關部(PR),,,使用中,2018/11/09,2018/09/19
442,A-015,400,延長線(A),研發部(RD),,,使用中,2018/11/09,2018/09/19
443,P-016,400,變壓器(P),人資部(HR),,,使用中,2018/11/09,2018/09/19
444,M-004,400,滑鼠(M),運營部(OM),,,使用中,2018/11/09,2018/09/19
445,P-017,400,變壓器(P),人資部(HR),,,使用中,2018/11/09,2018/09/19
446,M-005,400,滑鼠(M),運營部(OM),,,使用中,2018/11/09,2018/09/19
447,PC-006,400,電腦(PC),資訊部(IT),,,使用中,2018/11/09,2018/09/19
448,PC-007,400,電腦(PC),研發部(RD),,,使用中,2018/11/09,2018/09/19
449,PC-008,400,電腦(PC),客服部(CS),,,使用中,2018/11/09,2018/09/19
450,M-006,400,滑鼠(M),客服部(CS),,,使用中,2018/11/09,2018/09/19
451,M-007,400,滑鼠(M),公關部(PR),,,使用中,2018/11/09,2018/09/19
452,PC-009,400,電腦(PC),客服部(CS),愛葛莎(502),2018/10/12,使用中,2018/11/09,2018/09/19
453,A-016,400,延長線(A),人資部(HR),,,使用中,2018/11/09,2018/09/19
454,A-017,400,延長線(A),客服部(CS),,,使用中,2018/11/09,2018/09/19
455,PC-010,400,電腦(PC),資訊部(IT),,,使用中,2018/11/09,2018/09/19
456,A-018,400,延長線(A),資訊部(IT),,,使用中,2018/11/09,2018/09/19
457,M-008,400,滑鼠(M),資訊部(IT),,,使用中,2018/11/09,2018/09/19
458,PC-011,400,電腦(PC),公關部(PR),,,使用中,2018/11/09,2018/09/19
459,A-019,400,延長線(A),人資部(HR),,,使用中,2018/11/09,2018/09/19
460,P-018,400,變壓器(P),客服部(CS),,,使用中,2018/11/09,2018/09/19
461,P-019,400,變壓器(P),研發部(RD),,,使用中,2018/11/09,2018/09/19
462,P-020,400,變壓器(P),公關部(PR),,,使用中,2018/11/09,2018/09/19
463,PC-012,400,電腦(PC),,,,未使用,2018/11/04,2018/09/19
464,A-020,400,延長線(A),客服部(CS),,,使用中,2018/11/09,2018/09/19
465,PC-013,400,電腦(PC),公關部(PR),,,使用中,2018/11/09,2018/09/19
466,A-021,400,延長線(A),運營部(OM),,,使用中,2018/11/09,2018/09/19
467,PC-014,400,電腦(PC),公關部(PR),,,使用中,2018/11/09,2018/09/19
468,M-009,400,滑鼠(M),人資部(HR),,,使用中,2018/11/09,2018/09/19
469,P-021,400,變壓器(P),運營部(OM),,,使用中,2018/11/09,2018/09/19
470,P-022,400,變壓器(P),研發部(RD),,,使用中,2018/11/09,2018/09/19
